listing_id,url,platform,category,title,current_price,original_price,price_drops,last_price_change,currency,brand,size,condition,imageUrl,first_seen,last_seen,status,date_disappeared,consecutive_misses
1,https://www.vinted.co.uk/items/9809053865-peaceful-hooligan-size-medium?referrer=catalog,Vinted,mens_outerwear,Peaceful hooligan size medium,10.00,10.00,0,,GBP,Peaceful Hooligan,M,Very good,https://images1.vinted.net/t/05_02537_Jp94FFtY55jxwxyyH2LW2hLW/310x430/8580dba7.webp?s=f685827f9d0a2bc0542c50bfd7322b11761caab1,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
2,https://www.vinted.co.uk/items/9806881473-the-north-face-hyvent-jacket?referrer=catalog,Vinted,mens_outerwear,The North Face hyvent jacket,4.00,4.00,0,,GBP,The North Face,S,Satisfactory,https://images1.vinted.net/t/01_0166d_sfxytZ1utGmsQDT2Z7ZkvARY/310x430/30c05a80.webp?s=df1bf048d0996992a12ab7564b532449c51dd6d9,2026-08-28T19:11:09.775201+00:00,2026-08-28T21:35:08.359714+00:00,likely_sold_or_removed,2026-08-29T12:15:38.059094+00:00,2
3,https://www.vinted.co.uk/items/9800565957-ripstop-coat?referrer=catalog,Vinted,mens_outerwear,Ripstop coat,7.00,7.00,0,,GBP,Ripstop,XS,Good,https://images1.vinted.net/t/02_01167_Ns6TXABXrTmoAociy95fuXPP/310x430/72fd0dcd.webp?s=aa256e54aaf637eecefd94e4a486bc34b423c4ae,2026-08-28T19:11:09.775201+00:00,2026-08-29T15:20:30.068929+00:00,active,,0
4,https://www.vinted.co.uk/items/9807602949-vintage-1990s-nike-half-zip-colour-block-windbreaker-jacket-in-green-and-tan?referrer=catalog,Vinted,mens_outerwear,vintage 1990s Nike half-zip colour-block windbreaker jacket in green and tan,35.00,35.00,0,,GBP,Nike,XL,Very good,https://images1.vinted.net/t/01_00cc2_CT87G4gbiuXFdrHZtLoomnae/310x430/b934b0c0.webp?s=b16249c8124ecb8467153c864bd2f6360e4b410a,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
5,https://www.vinted.co.uk/items/9795328574-adidas-mens-jacket-size-2xl?referrer=catalog,Vinted,mens_outerwear,Adidas mens jacket size 2xl,14.40,14.40,0,,GBP,adidas,XXL,Very good,https://images1.vinted.net/t/02_02107_dhtPcAiUBEGBt4uFETqW5mFB/310x430/32b569f2.webp?s=f9be4eafb48ae63f3fd253d01daa23ff9f48891c,2026-08-28T19:11:09.775201+00:00,2026-08-29T15:20:30.068929+00:00,active,,0
6,https://www.vinted.co.uk/items/9806987573-lightweight-waterproof-jacket?referrer=catalog,Vinted,mens_outerwear,Lightweight Waterproof Jacket,10.00,10.00,0,,GBP,Craghoppers,XXL,Very good,https://images1.vinted.net/t/02_01385_YaN9nT5ymHLYvdn2g1ook93Z/310x430/0267fdd5.webp?s=c63e5fa1c7a9825299f68fc7ec37d8b990e533fd,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
7,https://www.vinted.co.uk/items/9804836460-lb2-flight-jacket-modern-reproduction?referrer=catalog,Vinted,mens_outerwear,Lb2 flight jacket modern reproduction,35.00,35.00,0,,GBP,,M,New without tags,https://images1.vinted.net/t/06_00e2d_N95Q4NiBP4n6NgJvHsxqfLbH/310x430/52586eb8.webp?s=51a977e6d925e35662218e9d750aa9bd0a6622a0,2026-08-28T19:11:09.775201+00:00,2026-08-29T15:20:30.068929+00:00,active,,0
8,https://www.vinted.co.uk/items/9808958726-super-dry-mens-jacket?referrer=catalog,Vinted,mens_outerwear,Super dry men’s jacket,11.00,11.00,0,,GBP,Superdry,L,Good,https://images1.vinted.net/t/05_01210_ZTqXyChxejhRuBXLyFtMhw2V/310x430/b5117ce9.webp?s=f90ba86c72cb6ef9d423f12bb668ba354de67003,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
9,https://www.vinted.co.uk/items/9803462122-body-warmer-size-large?referrer=catalog,Vinted,mens_outerwear,Body warmer size large,30.00,30.00,0,,GBP,body warmer,L,New with tags,https://images1.vinted.net/t/05_000d2_5r6YZ2bGjkjE9ivsi1fKtqzT/310x430/d4524b57.webp?s=a4f95186bcb5047a8372ba3108ed2be93056c64c,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
10,https://www.vinted.co.uk/items/9807511848-nike-jacket-inter-milan?referrer=catalog,Vinted,mens_outerwear,Nike Jacket Inter Milan,45.00,45.00,0,,GBP,Nike,S,Very good,https://images1.vinted.net/t/06_00596_7obim885JB8f4EyJmbFFVjrA/310x430/c9192335.webp?s=c5b0cb011cdc27eb8a72c5470fbf7fb2313e740d,2026-08-28T19:11:09.775201+00:00,2026-08-29T15:20:40.146451+00:00,active,,0
